date_de_l_export;code_du_departement;type_de_scrutin;libelle_du_departement;code_de_la_commune;libelle_de_la_commune;code_insee;geo_point_2d;geo_shape;inscrits;abstentions;abs_ins;votants;vot_ins;blancs_et_nuls;blnuls_ins;blnuls_vot;exprimes;exp_ins;exp_vot;code_nuance_01;sexe_01;nom_01;prenom_01;liste_01;sieges_elu_01;sieges_secteur_01;sieges_cc_01;voix_01;voix_ins_01;voix_exp_01;code_nuance_02;sexe_02;nom_02;prenom_02;liste_02;sieges_elu_02;sieges_secteur_02;sieges_cc_02;voix_02;voix_ins_02;voix_exp_02;code_nuance_03;sexe_03;nom_03;prenom_03;liste_03;sieges_elu_03;sieges_secteur_03;sieges_cc_03;voix_03;voix_ins_03;voix_exp_03;code_nuance_04;sexe_04;nom_04;prenom_04;liste_04;sieges_elu_04;sieges_secteur_04;sieges_cc_04;voix_04;voix_ins_04;voix_exp_04;code_nuance_05;sexe_05;nom_05;prenom_05;liste_05;sieges_elu_05;sieges_secteur_05;sieges_cc_05;voix_05;voix_ins_05;voix_exp_05;code_nuance_06;sexe_06;nom_06;prenom_06;liste_06;sieges_elu_06;sieges_secteur_06;sieges_cc_06;voix_06;voix_ins_06;voix_exp_06;code_nuance_07;sexe_07;nom_07;prenom_07;liste_07;sieges_elu_07;sieges_secteur_07;sieges_cc_07;voix_07;voix_ins_07;voix_exp_07;code_nuance_08;sexe_08;nom_08;prenom_08;liste_08;sieges_elu_08;sieges_secteur_08;sieges_cc_08;voix_08;voix_ins_08;voix_exp_08;code_nuance_09;sexe_09;nom_09;prenom_09;liste_09;sieges_elu_09;sieges_secteur_09;sieges_cc_09;voix_09;voix_ins_09;voix_exp_09;code_nuance_10;sexe_10;nom_10;prenom_10;liste_10;sieges_elu_10;sieges_secteur_10;sieges_cc_10;voix_10;voix_ins_10;voix_exp_10;code_nuance_11;sexe_11;nom_11;prenom_11;liste_11;sieges_elu_11;sieges_secteur_11;sieges_cc_11;voix_11;voix_ins_11;voix_exp_11
2014-03-25T12:52:00+00:00;78;LI2;YVELINES;372;Marly-le-Roi;78372;48.865007453010364,2.0912500429804872;"{""coordinates"": [[[2.092697911771177, 48.84617837034004], [2.081046982064394, 48.85312265255854], [2.07085301693767, 48.85462684385782], [2.08072507738931, 48.8713685446185], [2.077372253683236, 48.873618151971634], [2.084222440033953, 48.878716196263184], [2.097437746747568, 48.88014761569262], [2.101094623742498, 48.88553530232717], [2.104393405454175, 48.872933004485446], [2.109398751331529, 48.87283544596528], [2.105589917450221, 48.866772287672525], [2.106944288429823, 48.856952241884706], [2.094520194511738, 48.8526677546051], [2.092697911771177, 48.84617837034004]]], ""type"": ""Polygon""}";12092;4937;40.83;7155;59.17;237;1.96;3.31;6918;57.21;96.69;LUG;M;CHESNAIS;Jacques;MARLY A VENIR;4;0;1;1850;15.3;26.74;LUD;M;PERROT;Jean-Yves;PROTEGER MARLY, INNOVER ENSEMBLE;29;0;5;5068;41.91;73.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;91;LI2;ESSONNE;095;Bouray-sur-Juine;91095;48.512302013638326,2.296103422276229;"{""coordinates"": [[[2.307086472728099, 48.49990243090049], [2.2885973810634, 48.499748182161], [2.277063952388392, 48.504671498482246], [2.275586321385259, 48.51658249014499], [2.269508694201247, 48.52030569001465], [2.271090975775402, 48.523383089076255], [2.2903264752453563, 48.52103454977082], [2.299159973442192, 48.52377679975828], [2.324144816482853, 48.518658767291136], [2.307086472728099, 48.49990243090049]]], ""type"": ""Polygon""}";1490;486;32.62;1004;67.38;29;1.9500000000000002;2.89;975;65.44;97.11;LDIV;M;LONGEON;Robert;BOURAY AUTREMENT;4;0;1;419;28.12;42.97;LUDI;M;CABOT;Jacques;ENSEMBLE POUR BOURAY;15;0;2;556;37.32;57.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;75;LI2;PARIS;056SR04;Paris 4eme secteur;75104;48.854228281954754,2.357361938142205;"{""coordinates"": [[[2.364320760755825, 48.846167205800846], [2.344559180836944, 48.85399290271931], [2.350088493587214, 48.86195533215501], [2.3684017253737, 48.855739961952956], [2.369018230803884, 48.853225030730016], [2.364320760755825, 48.846167205800846]]], ""type"": ""Polygon""}";17271;7188;41.62;10083;58.38;233;1.35;2.31;9850;57.03;97.69;LEXG;F;LEWI;Olivia;LUTTE OUVRIERE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;0;0;0;60;0.35000000000000003;0.61;LPG;M;FREMIOT;David;Front de Gauche - A Paris, Place au Peuple !;0;0;0;376;2.18;3.8200000000000003;LUG;M;GIRARD;Christophe;Anne HIDALGO Paris qui ose;0;0;0;3684;21.33;37.4;LVEC;F;FAUGERON;Corine;Vivre mieux à Paris soutenu par Europe Ecologie les Verts avec Christophe Najdovski;0;0;0;916;5.3;9.3;LUD;M;ROGER;Vincent;Union UMP-UDI-MODEM avec Nathalie Kosciusko-Morizet;0;0;0;3725;21.57;37.82;LDVD;F;LEBRETON;Anne;Une liste citoyenne pour le 4ème;0;0;0;577;3.34;5.86;LFN;M;HATEM;Elie;Paris capitale de la France, avec Wallerand de Saint Just, soutenue par le Front national et le Rassemblement Bleu Marine;0;0;0;512;2.96;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;91;LI2;ESSONNE;525;Roinville-sous-Dourdan;91525;48.517069827420826,2.053331444508214;"{""coordinates"": [[[2.046706708386201, 48.48705067177692], [2.03232828721902, 48.50129303082243], [2.036639675318201, 48.50315437051655], [2.039845092739243, 48.51294154547456], [2.036195889848282, 48.53615873426626], [2.05069287113412, 48.545766436440495], [2.05576172301694, 48.547938897636975], [2.060760181158075, 48.54952582699318], [2.074033626531147, 48.509947136433254], [2.06154574081484, 48.49201802028521], [2.046706708386201, 48.48705067177692]]], ""type"": ""Polygon""}";939;204;21.73;735;78.27;25;2.66;3.4;710;75.61;96.6;LDIV;M;HAMOIGNON;Yannick;ECOUTER ET AGIR POUR ROINVILLE;12;0;2;368;39.19;51.83;LUD;M;ECHAROUX;Dominique;"UNION POUR LES INTERETS COMMUNAUX "" CONTINUONS ENSEMBLE """;3;0;0;342;36.42;48.17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;77;LI2;SEINE ET MARNE;318;Mortcerf;77318;48.78289385766537,2.905468229558013;"{""coordinates"": [[[2.9371967120954072, 48.75609527238883], [2.899848135333139, 48.77516392844706], [2.8926188800884383, 48.77030994451739], [2.873080883999764, 48.770020966589605], [2.862289077847984, 48.7811074483717], [2.857360906770931, 48.78171324682964], [2.857219696346011, 48.788557356359966], [2.869448794135079, 48.791467330863775], [2.899298129152196, 48.799275767063], [2.9306322980450483, 48.803030426770725], [2.9354508760017533, 48.80390550883055], [2.936349678368929, 48.78142168105788], [2.941068857972915, 48.76017152575769], [2.936771371335023, 48.75911703185715], [2.9371967120954072, 48.75609527238883]]], ""type"": ""Polygon""}";945;354;37.46;591;62.54;37;3.92;6.26;554;58.62;93.74;LDVG;M;BUISSON;Alain;MORTCERF-UNIS;1;0;0;119;12.59;21.48;LDVD;M;CAILLAU;Grégory;ENSEMBLE POUR NOTRE VILLAGE;14;0;3;435;46.03;78.52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;77;LI2;SEINE ET MARNE;442;Samoreau;77442;48.42001043723862,2.769787341054578;"{""coordinates"": [[[2.754298277829458, 48.411499310287155], [2.747467357332916, 48.415686358426036], [2.745934849934959, 48.42518340879327], [2.745602056765421, 48.429707920003366], [2.760988880552307, 48.429020197249706], [2.773476338756833, 48.42348487808533], [2.803886568269399, 48.42403385238661], [2.801192563203821, 48.417992719673784], [2.787827871328131, 48.41420002035637], [2.754298277829458, 48.411499310287155]]], ""type"": ""Polygon""}";1837;594;32.34;1243;67.66;33;1.8;2.65;1210;65.87;97.35;LUG;F;MUSY;Mylène;SAMOREAU SOLIDAIRE ET CITOYEN;1;0;0;223;12.14;18.43;LUD;M;AMAR;Marcel;GENERATIONS-ACTIONS UNIS POUR SAMOREAU;2;0;1;300;16.33;24.79;LDVD;M;GOUHOURY;Pascal;ENSEMBLE POUR SAMOREAU;16;0;6;687;37.4;56.78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;77;LI2;SEINE ET MARNE;450;Servon;77450;48.71505358590596,2.5916426454251633;"{""coordinates"": [[[2.574345135090998, 48.70100031418579], [2.5688040564289842, 48.707222628077], [2.5681236675330252, 48.7089740974758], [2.580405740364425, 48.722986299321384], [2.594679183112779, 48.73180512040085], [2.600915707459338, 48.727023161881995], [2.6091434377744323, 48.728489483820915], [2.61518582057583, 48.716609558573715], [2.594869502369241, 48.702007216840244], [2.574345135090998, 48.70100031418579]]], ""type"": ""Polygon""}";2498;890;35.63;1608;64.37;59;2.36;3.67;1549;62.01;96.33;LSOC;M;STABILE;Dominique;SERVON NOTRE VILLAGE;18;0;6;836;33.47;53.97;LDVD;M;RALLIERE;Yves;ENSEMBLE POUR NOTRE VILLAGE;5;0;1;713;28.54;46.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;77;LI2;SEINE ET MARNE;180;Férolles-Attilly;77180;48.733595247758785,2.638938131279374;"{""coordinates"": [[[2.6498409676743133, 48.71543008305954], [2.616798004962058, 48.71362859518836], [2.61518582057583, 48.716609558573715], [2.6091434377744323, 48.728489483820915], [2.6188894177273143, 48.73995273535011], [2.644772580400759, 48.75519671999482], [2.650712780357524, 48.74970983741689], [2.6652631842329573, 48.752260875322875], [2.6733956406702033, 48.743783924751455], [2.665370281594826, 48.735549980858934], [2.651592469022281, 48.732020786872184], [2.6498409676743133, 48.71543008305954]]], ""type"": ""Polygon""}";878;286;32.57;592;67.43;14;1.5899999999999999;2.36;578;65.83;97.64;LDVD;F;FONTBONNE;Anne-Laure;POUR L'AVENIR DE FEROLLES-ATTILLY;12;0;2;321;36.56;55.54;LDVD;M;HOUSSIER;Patrick;PRESERVONS FEROLLES;3;0;1;257;29.27;44.46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;93;LI2;SEINE SAINT-DENIS;005;Aulnay-sous-Bois;93005;48.94583843673866,2.4932904168711643;"{""coordinates"": [[[2.4917336814827, 48.916878261504436], [2.47939697783059, 48.91977496079716], [2.48140992372635, 48.93687003815209], [2.468902179421147, 48.95198593592314], [2.4594898661441342, 48.955055319020516], [2.466558862574984, 48.9634590581841], [2.491127946298912, 48.97324173201463], [2.496009495667324, 48.972722797189505], [2.524146063258125, 48.95057228131036], [2.512247662799389, 48.94393286352931], [2.508171724051222, 48.93752240559492], [2.517563921864038, 48.925663154559494], [2.507299294877434, 48.91866092556631], [2.4917336814827, 48.916878261504436]]], ""type"": ""Polygon""}";44885;21907;48.81;22978;51.19;818;1.82;3.56;22160;49.37;96.44;LEXG;M;DARSY;Marc;Lutte ouvriere faire entendre le camp des travailleurs;0;0;0;407;0.91;1.8399999999999999;LEXG;M;LEFEBVRE;Michel;UNITE ET RESISTANCE;0;0;0;284;0.63;1.28;LUG;M;SEGURA;Gérard;Liste de large rassemblement à gauche, écologique,solidaire et de progrès;0;0;0;5910;13.17;26.67;LDVG;M;AMEDRO;Alain;VIVRE MIEUX, ENSEMBLE A AULNAY SOUS BOIS;0;0;0;2023;4.51;9.13;LDVG;M;FARHAT;Moktar;Aulnay vers le haut;0;0;0;1203;2.68;5.43;LUDI;M;CHAUSSAT;Jacques;AULNAY DEMAIN;0;0;0;3183;7.09;14.36;LUD;M;BESCHIZZA;Bruno;Aulnay respectueuse - Aulnay gagnante;0;0;0;9150;20.39;41.29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;93;LI2;SEINE SAINT-DENIS;049;Neuilly-Plaisance;93049;48.864328785155266,2.510402498982637;"{""coordinates"": [[[2.513670428919681, 48.8501681266457], [2.503941324504135, 48.85723297930665], [2.499717550238719, 48.85567752564453], [2.496392095141792, 48.85990845268808], [2.509129986812812, 48.87792096462157], [2.520436672577834, 48.874576349921966], [2.523458873987327, 48.87208829937205], [2.51795890423316, 48.86682319920496], [2.517337884375975, 48.85440088766875], [2.520833540929599, 48.85218457346881], [2.515648757769381, 48.85138127056583], [2.513670428919681, 48.8501681266457]]], ""type"": ""Polygon""}";13694;6271;45.79;7423;54.21;240;1.75;3.23;7183;52.45;96.77;LFG;M;ALBERO MARTINEZ;Rodolphe;Neuilly-Plaisance citoyenne solidaire;1;0;0;502;3.67;6.99;LSOC;F;SOLIBIÉDA;Muriel;Une nouvelle énergie pour Neuilly-Plaisance;3;0;0;1495;10.92;20.81;LUD;M;DEMUYNCK;Christian;Agir ensemble pour Neuilly-Plaisance;31;0;0;5186;37.87;72.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;91;LI2;ESSONNE;630;Le Val-Saint-Germain;91630;48.56787893760629,2.081288703835762;"{""coordinates"": [[[2.05576172301694, 48.547938897636975], [2.054649987117578, 48.576528713638204], [2.07367525410673, 48.577020190569506], [2.08417912049477, 48.584163310598846], [2.087153990526168, 48.59396468241842], [2.092980255168611, 48.5934784666559], [2.095734455681451, 48.58712136080301], [2.105281844331769, 48.58465668066933], [2.106869477666993, 48.581403096467014], [2.101563674611421, 48.55478894482548], [2.09312433970227, 48.55225995834119], [2.060760181158075, 48.54952582699318], [2.05576172301694, 48.547938897636975]]], ""type"": ""Polygon""}";1111;531;47.79;580;52.21;76;6.84;13.1;504;45.36;86.9;LDIV;M;DELOGES;Serge;A L'ECOUTE DU VAL;15;0;2;504;45.36;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;95;LI2;VAL D'OISE;205;Ecouen;95205;49.02606431727294,2.384856955985052;"{""coordinates"": [[[2.363647080160659, 49.00957385403513], [2.363450476008217, 49.02003971396452], [2.363865819303775, 49.02184933381385], [2.374985603554153, 49.0374280080276], [2.382904573946702, 49.042018886489416], [2.399577207921419, 49.0397205280787], [2.409546642243277, 49.024204807904056], [2.38966234722041, 49.01402520513975], [2.379580096293232, 49.01346995792685], [2.363647080160659, 49.00957385403513]]], ""type"": ""Polygon""}";4865;2407;49.48;2458;50.52;261;5.36;10.62;2197;45.16;89.38;LFG;M;VIGNES;Bernard;Les gauches citoyennes pour Ecouen;3;0;0;463;9.52;21.07;LDVG;M;ANGELS;Bernard;BIEN VIVRE A ECOUEN;26;0;4;1734;35.64;78.93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;78;LI2;YVELINES;337;Limetz-Villez;78337;49.05981216826266,1.5506759947349722;"{""coordinates"": [[[1.5809683166036321, 49.06229892538566], [1.548020032349646, 49.04156288597772], [1.543310858101397, 49.04021983246787], [1.5331653029155898, 49.047803509652205], [1.521347391405011, 49.068351721386], [1.5465140522159642, 49.07238184603398], [1.560750773483613, 49.07035892799982], [1.5722621602481182, 49.07680923113177], [1.5809683166036321, 49.06229892538566]]], ""type"": ""Polygon""}";1517;675;44.5;842;55.5;138;9.1;16.39;704;46.41;83.61;LDVD;M;OBRY;Michel;LISTE DE DEFENSE DES INTERETS COMMUNAUX;19;0;4;704;46.41;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;78;LI2;YVELINES;397;Le Mesnil-Saint-Denis;78397;48.740225061368676,1.966138358607553;"{""coordinates"": [[[1.971530094169113, 48.72094723768252], [1.963558245694853, 48.72533081060298], [1.961916095679212, 48.734761275946546], [1.947876824180309, 48.7337028774684], [1.9324152932999041, 48.74171503714845], [1.937122797864173, 48.74830533596783], [1.956509072101853, 48.74880015277153], [1.9581463742139031, 48.755362681819946], [1.967799891283597, 48.75699361664399], [1.973475056444614, 48.753417640677775], [1.991707355222887, 48.747564467954724], [1.98776356298143, 48.745426309358066], [1.988680127312041, 48.72900040662569], [1.971530094169113, 48.72094723768252]]], ""type"": ""Polygon""}";5263;1943;36.92;3320;63.08;63;1.2;1.9;3257;61.88;98.1;LDVG;F;DARIO;Dominique;LE MESNIL EN MOUVEMENT;0;0;0;348;6.61;10.68;LDIV;M;D' ANNOVILLE;Aimeric;DYNAMIQUE 2014;0;0;0;1031;19.59;31.65;LUD;F;AUBERT;Evelyne;EVOLUTION 2014;0;0;0;961;18.26;29.51;LDVD;M;ABOUT;Quentin;VIVRE ENSEMBLE AU MESNIL SAINT DENIS;0;0;0;917;17.42;28.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;93;LI2;SEINE SAINT-DENIS;001;Aubervilliers;93001;48.91217226264496,2.384455137684569;"{""coordinates"": [[[2.389444302557232, 48.90115742325012], [2.370286443740823, 48.901651775250755], [2.365839954946483, 48.901610328262414], [2.366573807908173, 48.92089531387554], [2.374741656353462, 48.92368106632682], [2.383372949159185, 48.91967896740329], [2.398768397571897, 48.92178062384421], [2.407546080637131, 48.91791241650969], [2.408023772281926, 48.90950632781487], [2.398414881865055, 48.908685055661685], [2.389444302557232, 48.90115742325012]]], ""type"": ""Polygon""}";27581;15980;57.94;11601;42.06;520;1.8900000000000001;4.48;11081;40.18;95.52;LEXG;M;JOUANNIN;Michel;liste lutte ouvriere faire entendre le camp des travailleurs;0;0;0;301;1.09;2.7199999999999998;LFG;M;BEAUDET;Pascal;à l'écoute , rassemblés, déterminés pour vivre mieux à Aubervilliers;0;0;0;3646;13.22;32.9;LUG;M;SALVATOR;Jacques;AUBERVILLIERS AVANCE EN CONFIANCE;0;0;0;3560;12.91;32.13;LDIV;M;MAIZAT;Samir;100% Aubervilliers;0;0;0;789;2.86;7.12;LUD;M;MENIA;Fayçal;Agir pour Aubervilliers;0;0;0;1362;4.94;12.29;LDVD;M;AUGY;Thierry;Union du nouvel Aubervilliers;0;0;0;761;2.76;6.87;LDVD;M;PELLICCIA;Stéphane;Mouvement des citoyens independants pour Aubervilliers;0;0;0;662;2.4;5.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;93;LI2;SEINE SAINT-DENIS;031;Epinay-sur-Seine;93031;48.95501320616889,2.3145304323082883;"{""coordinates"": [[[2.338363986450168, 48.94261361157128], [2.333301726450123, 48.94560714688079], [2.316550676724552, 48.94970345784704], [2.303086637241905, 48.9518471632058], [2.292278635406989, 48.95138816756393], [2.288460772442903, 48.95898243888734], [2.298617176537092, 48.96635333287221], [2.31317673848308, 48.96222004237927], [2.320123477579794, 48.95840176610554], [2.328328131276182, 48.95966201911353], [2.333312950123798, 48.9553823356351], [2.345795945167748, 48.946530297230304], [2.341901158757533, 48.946823726540295], [2.338363986450168, 48.94261361157128]]], ""type"": ""Polygon""}";24908;13325;53.5;11583;46.5;429;1.72;3.7;11154;44.78;96.3;LFG;M;RIGAULT;Daniel;Pour Epinay, Alternative sociale et solidaire;0;0;0;470;1.8900000000000001;4.21;LUG;M;TRIGANCE;Yannick;Tous unis pour un nouvel Epinay;6;0;1;3037;12.19;27.23;LDVD;M;AYYILDIZ;Oben;Les Spinassiens d'abord;0;0;0;393;1.58;3.52;LDVD;M;CHEVREAU;Hervé;Continuons ensemble;39;0;8;7254;29.12;65.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;95;LI2;VAL D'OISE;351;Louvres;95351;49.0422977702339,2.503584914084832;"{""coordinates"": [[[2.498573492607255, 49.02411504684313], [2.4855612104420572, 49.027800666570386], [2.474330557914061, 49.041725470342286], [2.482032682658105, 49.05390685604108], [2.4919262901067523, 49.052276638439764], [2.500812501136565, 49.05575772511732], [2.507185176700463, 49.06470377617046], [2.522694064921331, 49.062653344804225], [2.516209776425437, 49.053680683864414], [2.527578926776576, 49.047629525681856], [2.528282398893841, 49.03795710045971], [2.526070541825506, 49.03005351383259], [2.525579269202697, 49.02694935566586], [2.511211555653821, 49.028033706844504], [2.498573492607255, 49.02411504684313]]], ""type"": ""Polygon""}";6432;3189;49.58;3243;50.42;92;1.43;2.84;3151;48.99;97.16;LEXG;M;GAYRAUD;Patrick;LUTTE OUVRIÈRE FAIRE ENTENDRE LE CAMP DES TRAVAILLEURS;0;0;0;171;2.66;5.43;LUG;M;THOREAU;Eddy;LOUVRES EN MOUVMENT AVEC VOUS;5;0;1;1095;17.02;34.75;LMDM;M;FOSSIER;Jean-Marie;LISTE D'UNION REPUBLICAINE POUR LA DEFENSE DES INTERETS COMMUNAUX;24;0;3;1885;29.31;59.82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;78;LI2;YVELINES;158;Le Chesnay;78158;48.82723977415478,2.130149082091764;"{""coordinates"": [[[2.148475927847977, 48.82849268523683], [2.140437002227598, 48.82446882876733], [2.136072645252615, 48.814939667169654], [2.131007668278255, 48.81486698444451], [2.113987690376982, 48.82187437468609], [2.112676124617275, 48.82851123738547], [2.120532066760668, 48.83602526240543], [2.1458725226078172, 48.836901430637404], [2.148475927847977, 48.82849268523683]]], ""type"": ""Polygon""}";20901;9427;45.1;11474;54.9;292;1.4;2.54;11182;53.5;97.46;LDVG;M;BRONARD;Nicolas;POUR LE CHESNAY, ENSEMBLE A GAUCHE;2;0;0;1473;7.05;13.17;LUD;M;BRILLAULT;Philippe;L'EQUIPE DU CHESNAY AVEC PHILIPPE BRILLAULT;29;0;6;6642;31.78;59.4;LDVD;M;BONNEHON;Patrick;LE CHESNAY AVENIR;2;0;0;1368;6.55;12.23;LDVD;F;DURAND-SMET;Marie;LE CHESNAY C VOUS;2;0;0;1699;8.13;15.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;91;LI2;ESSONNE;275;Gometz-le-Châtel;91275;48.67458346580977,2.142891374001574;"{""coordinates"": [[[2.155439056839545, 48.65933537369006], [2.138656349758428, 48.66510716928048], [2.121591817423227, 48.68015755615423], [2.121943243236453, 48.683497340448085], [2.141560081331339, 48.68593392205398], [2.150231104275433, 48.68403509881167], [2.153378907232919, 48.67839956933676], [2.161288984972471, 48.67556803747717], [2.164094990996519, 48.67506602572145], [2.155421256844289, 48.666324548661464], [2.155439056839545, 48.65933537369006]]], ""type"": ""Polygon""}";1695;551;32.51;1144;67.49;40;2.36;3.5;1104;65.13;96.5;LUG;M;LEGRAS;Olivier;GOMETZ UNI ET SOLIDAIRE;3;0;0;296;17.46;26.81;LDIV;M;LEMARCHAL;Bruno;GOMETZ-LE-CHATEL NOTRE PASSION;2;0;0;243;14.34;22.01;LDIV;F;SELLEM;Lucie;ENSEMBLE A GOMETZ;18;0;2;565;33.33;51.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;77;LI2;SEINE ET MARNE;005;Annet-sur-Marne;77005;48.922333532297465,2.708546223929706;"{""coordinates"": [[[2.727671602176721, 48.90279071883709], [2.724274693754664, 48.90284589745069], [2.7102865966781833, 48.903927997808026], [2.703041341463073, 48.90900920877898], [2.687901759009762, 48.910652383043704], [2.672947473551811, 48.917393073048316], [2.67106815830867, 48.923287182108396], [2.6734792379441883, 48.92615346390401], [2.683400962189353, 48.92611713923208], [2.694718405290039, 48.93242339656103], [2.697739488965583, 48.938662944249565], [2.710103788289418, 48.941652045864316], [2.7204734655436553, 48.94262988737151], [2.742318786429871, 48.92274217207727], [2.7331666809785897, 48.921858839543404], [2.727671602176721, 48.90279071883709]]], ""type"": ""Polygon""}";2063;935;45.32;1128;54.68;271;13.14;24.02;857;41.54;75.98;LDVD;M;MARCHANDEAU;Christian;ANNET AUTHENTIQUE ET DYNAMIQUE;23;0;2;857;41.54;100.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2014-03-25T12:52:00+00:00;78;LI2;YVELINES;642;Verneuil-sur-Seine;78642;48.98720933667759,1.962765321739346;"{""coordinates"": [[[1.953586536219516, 48.96994530550846], [1.949439854044278, 48.97979239040739], [1.939088358567342, 48.980906347052596], [1.9464688830985, 49.00638525124825], [1.961396604837446, 49.00292724905224], [1.9825147826633271, 48.99243371796455], [1.993307513716799, 48.98342398993008], [1.968309048224792, 48.97145778469345], [1.953586536219516, 48.96994530550846]]], ""type"": ""Polygon""}";11022;5015;45.5;6007;54.5;192;1.74;3.2;5815;52.76;96.8;LUG;F;CHRISTOPHOUL;Michèle;VIVRE VERNEUIL AUTREMENT;4;0;0;1354;12.28;23.28;LDIV;M;SEBILEAU;Guillaume;VERNEUIL RENOUVEAU;4;0;1;1428;12.96;24.56;LUD;M;TAUTOU;Philippe;VERNEUIL, NOTRE VILLE, NOTRE AVENIR;25;0;5;3033;27.52;52.16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
